"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.817404890E-1
4.687500000E1,1.086002895E-1
7.031250000E1,7.665049930E-2
9.375000000E1,1.644534067E-1
1.171875000E2,7.464904849E-2
1.406250000E2,2.170452912E-1
1.640625000E2,3.876575897E-1
1.875000000E2,1.176211895E0
2.109375000E2,1.593028003E0
2.343750000E2,4.963382891E0
2.578125000E2,8.890092933E-1
2.812500000E2,1.780932417E0
3.046875000E2,2.094430070E0
3.281250000E2,2.257536156E0
3.515625000E2,1.360462868E0
3.750000000E2,1.321322044E0
3.984375000E2,6.200157239E-1
4.218750000E2,1.406057984E0
4.453125000E2,8.956954499E-2
4.687500000E2,2.185241729E0
4.921875000E2,6.026938882E-1
5.156250000E2,2.253889186E0
5.390625000E2,1.627660459E0
5.625000000E2,3.354054662E-1
5.859375000E2,5.368824279E-1
6.093750000E2,8.308712363E-1
6.328125000E2,1.256103759E-1
6.562500000E2,5.036107907E-1
6.796875000E2,1.192577308E0
7.031250000E2,4.314956458E-1
7.265625000E2,9.390410941E-1
7.500000000E2,1.744711078E0
7.734375000E2,1.794413880E0
7.968750000E2,9.554797798E-1
8.203125000E2,6.251026645E-1
8.437500000E2,3.811883067E-1
8.671875000E2,3.632834933E-1
8.906250000E2,2.275406023E-1
9.140625000E2,3.164361950E-1
9.375000000E2,3.695093186E-1
9.609375000E2,2.582146174E-1
9.843750000E2,5.523618322E-1
1.007812500E3,4.150185678E-1
1.031250000E3,4.418440531E-1
1.054687500E3,2.857436200E-1
1.078125000E3,6.031116753E-1
1.101562500E3,7.798962722E-1
1.125000000E3,4.239592396E-1
1.148437500E3,2.999953107E-1
1.171875000E3,2.916609938E-1
1.195312500E3,1.398224630E-1
1.218750000E3,3.702172355E-1
1.242187500E3,3.412500429E-1
1.265625000E3,1.503685818E-1
1.289062500E3,1.405507039E-1
1.312500000E3,3.121700585E-1
1.335937500E3,1.596712542E-1
1.359375000E3,1.464531478E-1
1.382812500E3,8.127929676E-2
1.406250000E3,1.432639642E-1
1.429687500E3,7.713735788E-2
1.453125000E3,6.629064131E-2
1.476562500E3,1.548589951E-2
1.500000000E3,7.459039968E-2
1.523437500E3,1.919120653E-1
1.546875000E3,1.171151648E-1
1.570312500E3,6.380200182E-2
1.593750000E3,1.012115266E-1
1.617187500E3,1.020532138E-1
1.640625000E3,9.754821410E-2
1.664062500E3,8.015136474E-2
1.687500000E3,9.317574441E-2
1.710937500E3,7.272137940E-2
1.734375000E3,6.603733157E-2
1.757812500E3,7.460419072E-2
1.781250000E3,1.261252169E-1
1.804687500E3,2.144374063E-2
1.828125000E3,5.067984013E-2
1.851562500E3,1.152863281E-1
1.875000000E3,7.688886981E-2
1.898437500E3,5.668452189E-2
1.921875000E3,6.842982988E-2
1.945312500E3,1.219112189E-1
1.968750000E3,1.671741217E-1
1.992187500E3,2.355237949E-1
2.015625000E3,3.623443597E-2
2.039062500E3,4.280694700E-2
2.062500000E3,1.093070528E-1
2.085937500E3,1.308382917E-1
2.109375000E3,8.814835237E-2
2.132812500E3,9.460951544E-2
2.156250000E3,3.665646492E-2
2.179687500E3,6.605566516E-2
2.203125000E3,1.737650036E-1
2.226562500E3,2.831232122E-2
2.250000000E3,1.955603173E-1
2.273437500E3,1.386116880E-1
2.296875000E3,1.528067393E-1
2.320312500E3,2.251364442E-1
2.343750000E3,3.401267110E-1
2.367187500E3,1.500670368E-1
2.390625000E3,9.801175314E-2
2.414062500E3,1.809377273E-1
2.437500000E3,6.404670756E-2
2.460937500E3,9.134817819E-2
2.484375000E3,2.614902656E-1
2.507812500E3,1.159100010E-1
2.531250000E3,1.327451357E-1
