"Time (s)","Peak-Frequency"
0.000000000E0,0.000000000E0
3.102956667E-1,0.000000000E0
3.463986250E-1,0.000000000E0
3.867988333E-1,0.000000000E0
4.298987083E-1,2.812500000E2
4.969683333E-1,2.812500000E2
5.604133333E-1,4.687500000E2
6.243023750E-1,4.921875000E2
6.874277500E-1,4.921875000E2
7.526443750E-1,4.687500000E2
8.163745833E-1,4.687500000E2
8.802382500E-1,4.687500000E2
9.437197083E-1,4.921875000E2
1.008382250E0,2.343750000E2
1.070904375E0,2.343750000E2
1.136622417E0,4.687500000E2
1.200420417E0,4.687500000E2
1.265781000E0,4.921875000E2
1.328441958E0,4.687500000E2
1.393150125E0,4.687500000E2
1.456329583E0,4.921875000E2
1.520788292E0,2.343750000E2
1.584635958E0,2.343750000E2
1.649587125E0,4.921875000E2
1.713233583E0,4.921875000E2
1.776840000E0,4.921875000E2
1.840851750E0,2.343750000E2
1.904482708E0,2.109375000E2
1.968342542E0,2.109375000E2
2.033053250E0,3.515625000E2
2.097183625E0,3.515625000E2
2.161373042E0,2.812500000E2
2.224218083E0,2.109375000E2
2.288002833E0,2.109375000E2
2.352478167E0,4.687500000E2
2.416347083E0,2.343750000E2
2.481243250E0,2.343750000E2
2.543086958E0,4.687500000E2
2.609165000E0,2.578125000E2
2.671437958E0,2.578125000E2
2.736392583E0,4.687500000E2
2.800393625E0,4.687500000E2
2.865357375E0,2.109375000E2
2.928429458E0,4.687500000E2
2.993243000E0,4.687500000E2
3.057055708E0,4.921875000E2
3.118961958E0,2.109375000E2
3.182891333E0,2.109375000E2
3.249322792E0,2.343750000E2
3.424357792E0,2.343750000E2
