"Time (s)","Recording (a.u.)"
0.000000000E0,7.671061903E-3
2.083333333E-5,8.182890713E-3
4.166666667E-5,8.540796116E-3
6.250000000E-5,8.677345701E-3
8.333333333E-5,8.479927666E-3
1.041666667E-4,8.008996025E-3
1.250000000E-4,7.393474691E-3
1.458333333E-4,6.728683133E-3
1.666666667E-4,6.094039883E-3
1.875000000E-4,5.555443466E-3
2.083333333E-4,5.185609683E-3
2.291666667E-4,4.970397800E-3
2.500000000E-4,4.846557975E-3
2.708333333E-4,4.833583720E-3
2.916666667E-4,5.067053251E-3
3.125000000E-4,5.644153338E-3
3.333333333E-4,6.439615041E-3
3.541666667E-4,7.245569490E-3
3.750000000E-4,7.944324985E-3
3.958333333E-4,8.474698290E-3
4.166666667E-4,8.871119469E-3
4.375000000E-4,9.300922975E-3
4.583333333E-4,9.919251315E-3
4.791666667E-4,1.068013813E-2
5.000000000E-4,1.130267512E-2
5.208333333E-4,1.147076953E-2
5.416666667E-4,1.119266916E-2
5.625000000E-4,1.074250042E-2
5.833333333E-4,1.029679738E-2
6.041666667E-4,9.897498414E-3
6.250000000E-4,9.498433210E-3
6.458333333E-4,9.053312242E-3
6.666666667E-4,8.618774824E-3
6.875000000E-4,8.221246302E-3
7.083333333E-4,7.866224274E-3
7.291666667E-4,7.723390125E-3
7.500000000E-4,7.858601399E-3
7.708333333E-4,8.072550409E-3
7.916666667E-4,8.204357699E-3
8.125000000E-4,8.267863654E-3
8.333333333E-4,8.374179713E-3
8.541666667E-4,8.651813492E-3
8.750000000E-4,9.089614265E-3
8.958333333E-4,9.565496817E-3
9.166666667E-4,1.000114623E-2
9.375000000E-4,1.021025144E-2
9.583333333E-4,9.988434613E-3
9.791666667E-4,9.355125949E-3
1.000000000E-3,8.525832556E-3
1.020833333E-3,7.802741602E-3
1.041666667E-3,7.359253708E-3
1.062500000E-3,7.140815258E-3
1.083333333E-3,7.031432353E-3
1.104166667E-3,6.909593008E-3
1.125000000E-3,6.683024112E-3
1.145833333E-3,6.476237904E-3
1.166666667E-3,6.522904150E-3
1.187500000E-3,6.868418772E-3
1.208333333E-3,7.337845862E-3
1.229166667E-3,7.691374049E-3
1.250000000E-3,7.901882753E-3
1.270833333E-3,8.174797520E-3
1.291666667E-3,8.627042174E-3
1.312500000E-3,9.192809463E-3
1.333333333E-3,9.796012193E-3
1.354166667E-3,1.042770874E-2
1.375000000E-3,1.099337637E-2
1.395833333E-3,1.127213333E-2
1.416666667E-3,1.121983211E-2
1.437500000E-3,1.092898846E-2
1.458333333E-3,1.043581218E-2
1.479166667E-3,9.821845219E-3
1.500000000E-3,9.126421064E-3
1.520833333E-3,8.381190710E-3
1.541666667E-3,7.634169888E-3
1.562500000E-3,6.939011626E-3
1.583333333E-3,6.480894051E-3
1.604166667E-3,6.345365196E-3
1.625000000E-3,6.325782742E-3
1.645833333E-3,6.223740056E-3
1.666666667E-3,6.109934766E-3
1.687500000E-3,6.148397923E-3
1.708333333E-3,6.332398858E-3
1.729166667E-3,6.451357622E-3
1.750000000E-3,6.298515946E-3
1.770833333E-3,5.804467946E-3
1.791666667E-3,4.976299126E-3
1.812500000E-3,3.901591524E-3
1.833333333E-3,2.704285318E-3
1.854166667E-3,1.496935729E-3
1.875000000E-3,3.630534629E-4
1.895833333E-3,-6.212108419E-4
1.916666667E-3,-1.349415514E-3
1.937500000E-3,-1.834894763E-3
1.958333333E-3,-2.251330763E-3
1.979166667E-3,-2.727940213E-3
2.000000000E-3,-3.163973335E-3
2.020833333E-3,-3.485627007E-3
2.041666667E-3,-3.840766614E-3
2.062500000E-3,-4.348775372E-3
2.083333333E-3,-4.989087582E-3
2.104166667E-3,-5.612094421E-3
2.125000000E-3,-6.198284216E-3
2.145833333E-3,-6.814132445E-3
2.166666667E-3,-7.294689771E-3
2.187500000E-3,-7.497387007E-3
2.208333333E-3,-7.515194826E-3
2.229166667E-3,-7.554660551E-3
2.250000000E-3,-7.691458799E-3
2.270833333E-3,-7.783220615E-3
2.291666667E-3,-7.716326043E-3
2.312500000E-3,-7.493088022E-3
2.333333333E-3,-7.192373276E-3
2.354166667E-3,-6.863269955E-3
2.375000000E-3,-6.535177119E-3
2.395833333E-3,-6.398609839E-3
2.416666667E-3,-6.530433893E-3
2.437500000E-3,-6.796105765E-3
2.458333333E-3,-7.115044631E-3
2.479166667E-3,-7.465244271E-3
2.500000000E-3,-7.863586769E-3
2.520833333E-3,-8.241746575E-3
2.541666667E-3,-8.463466540E-3
2.562500000E-3,-8.571453393E-3
2.583333333E-3,-8.701703511E-3
2.604166667E-3,-8.829561993E-3
2.625000000E-3,-8.788238280E-3
2.645833333E-3,-8.526703343E-3
2.666666667E-3,-8.205258287E-3
2.687500000E-3,-8.023596369E-3
2.708333333E-3,-8.021299727E-3
2.729166667E-3,-8.163917810E-3
2.750000000E-3,-8.524979465E-3
2.770833333E-3,-9.147951379E-3
2.791666667E-3,-9.968279861E-3
2.812500000E-3,-1.081492752E-2
2.833333333E-3,-1.155176573E-2
2.854166667E-3,-1.218498871E-2
2.875000000E-3,-1.258763671E-2
2.895833333E-3,-1.269638166E-2
2.916666667E-3,-1.266847365E-2
2.937500000E-3,-1.261271536E-2
2.958333333E-3,-1.249747165E-2
2.979166667E-3,-1.210165396E-2
3.000000000E-3,-1.134371758E-2
3.020833333E-3,-1.050164178E-2
3.041666667E-3,-9.783055633E-3
3.062500000E-3,-9.194101207E-3
3.083333333E-3,-8.806003258E-3
3.104166667E-3,-8.685718291E-3
3.125000000E-3,-8.748255670E-3
3.145833333E-3,-8.742423728E-3
3.166666667E-3,-8.388563991E-3
3.187500000E-3,-7.680920418E-3
3.208333333E-3,-6.761479657E-3
3.229166667E-3,-5.768140312E-3
3.250000000E-3,-4.811519291E-3
3.270833333E-3,-3.889941610E-3
3.291666667E-3,-2.995925955E-3
3.312500000E-3,-2.009644639E-3
3.333333333E-3,-7.986653945E-4
3.354166667E-3,5.444152630E-4
3.375000000E-3,1.796625322E-3
3.395833333E-3,2.763152588E-3
3.416666667E-3,3.455627942E-3
3.437500000E-3,4.009414930E-3
3.458333333E-3,4.452195950E-3
3.479166667E-3,4.764831159E-3
3.500000000E-3,4.984316416E-3
3.520833333E-3,5.123423412E-3
3.541666667E-3,5.177595653E-3
3.562500000E-3,5.190907978E-3
3.583333333E-3,5.255097523E-3
3.604166667E-3,5.418399815E-3
3.625000000E-3,5.598456599E-3
3.645833333E-3,5.612510722E-3
3.666666667E-3,5.255135708E-3
3.687500000E-3,4.527471960E-3
3.708333333E-3,3.680742811E-3
3.729166667E-3,2.962216269E-3
3.750000000E-3,2.478804905E-3
3.770833333E-3,2.179965377E-3
3.791666667E-3,1.945769647E-3
3.812500000E-3,1.660493435E-3
3.833333333E-3,1.212682342E-3
3.854166667E-3,6.939418381E-4
3.875000000E-3,4.125325941E-4
3.895833333E-3,4.663642030E-4
3.916666667E-3,6.513895933E-4
3.937500000E-3,7.281369180E-4
3.958333333E-3,5.633437540E-4
3.979166667E-3,1.768004877E-4
4.000000000E-3,-4.222106945E-4
4.020833333E-3,-1.139578992E-3
4.041666667E-3,-1.760986634E-3
4.062500000E-3,-2.202260774E-3
4.083333333E-3,-2.414886141E-3
4.104166667E-3,-2.426169813E-3
4.125000000E-3,-2.365068533E-3
4.145833333E-3,-2.342739142E-3
4.166666667E-3,-2.346593887E-3
4.187500000E-3,-2.152833389E-3
4.208333333E-3,-1.564084669E-3
4.229166667E-3,-7.724829484E-4
4.250000000E-3,-9.007341578E-5
4.270833333E-3,4.011680139E-4
4.291666667E-3,6.578506436E-4
4.312500000E-3,7.706388133E-4
4.333333333E-3,9.833556833E-4
4.354166667E-3,1.509326277E-3
4.375000000E-3,2.284034854E-3
4.395833333E-3,2.966037486E-3
4.416666667E-3,3.398828674E-3
4.437500000E-3,3.664626740E-3
4.458333333E-3,3.933404107E-3
4.479166667E-3,4.185885191E-3
4.500000000E-3,4.298123997E-3
4.520833333E-3,4.243822768E-3
4.541666667E-3,3.920185380E-3
4.562500000E-3,3.306473605E-3
4.583333333E-3,2.544742310E-3
4.604166667E-3,1.817015465E-3
4.625000000E-3,1.248794957E-3
4.645833333E-3,9.283093386E-4
4.666666667E-3,8.901348338E-4
4.687500000E-3,1.034006826E-3
4.708333333E-3,1.275427756E-3
4.729166667E-3,1.588702668E-3
4.750000000E-3,1.880426425E-3
4.770833333E-3,2.077254932E-3
4.791666667E-3,2.148354892E-3
4.812500000E-3,1.993166283E-3
4.833333333E-3,1.607163809E-3
4.854166667E-3,1.079892856E-3
4.875000000E-3,5.546140019E-4
4.895833333E-3,1.756103447E-4
4.916666667E-3,-9.666495316E-5
4.937500000E-3,-3.162755747E-4
4.958333333E-3,-5.170495133E-4
4.979166667E-3,-7.138340734E-4
5.000000000E-3,-8.224033518E-4
5.020833333E-3,-7.847368834E-4
5.041666667E-3,-6.079294835E-4
5.062500000E-3,-3.377150861E-4
5.083333333E-3,-2.214180859E-5
5.104166667E-3,2.235319116E-4
5.125000000E-3,2.522726718E-4
5.145833333E-3,5.217415310E-5
5.166666667E-3,-1.998141233E-4
5.187500000E-3,-2.505613666E-4
5.208333333E-3,-2.136608964E-5
5.229166667E-3,4.265207681E-4
5.250000000E-3,9.507584618E-4
5.270833333E-3,1.370889484E-3
5.291666667E-3,1.625633333E-3
5.312500000E-3,1.740040956E-3
5.333333333E-3,1.851054956E-3
5.354166667E-3,2.018321306E-3
5.375000000E-3,2.173200948E-3
5.395833333E-3,2.291569253E-3
5.416666667E-3,2.334155608E-3
5.437500000E-3,2.355976496E-3
5.458333333E-3,2.393121365E-3
5.479166667E-3,2.456898103E-3
5.500000000E-3,2.693897812E-3
5.520833333E-3,3.230485367E-3
5.541666667E-3,4.098466597E-3
5.562500000E-3,5.110580474E-3
5.583333333E-3,6.014822982E-3
5.604166667E-3,6.778563373E-3
5.625000000E-3,7.468138821E-3
5.645833333E-3,8.161257952E-3
5.666666667E-3,8.900530636E-3
5.687500000E-3,9.669722989E-3
5.708333333E-3,1.032666489E-2
5.729166667E-3,1.060169004E-2
5.750000000E-3,1.037901640E-2
5.770833333E-3,9.809204377E-3
5.791666667E-3,9.238632396E-3
5.812500000E-3,8.928734809E-3
5.833333333E-3,8.876821026E-3
